uniprot,pathway
P15336,hsa05161
P15336,hsa04922
P15336,hsa05163
P15336,hsa04261
P15336,hsa04934
P15336,hsa04927
P15336,hsa05166
P15336,hsa04211
Q5KSL6,hsa00564
Q5KSL6,hsa05231
Q5KSL6,hsa01100
Q5KSL6,hsa00561
Q5KSL6,hsa04070
Q5KSL6,hsa04072
P34998,hsa04024
P34998,hsa04730
P34998,hsa04080
P34998,hsa04934
P09874,hsa05415
P09874,hsa04064
P09874,hsa03410
P09874,hsa04217
P09874,hsa04210
O75390,hsa01230
O75390,hsa01100
O75390,hsa01210
O75390,hsa00020
O75390,hsa01200
O75390,hsa00630
Q16539,hsa04936
Q16539,hsa05167
Q16539,hsa04659
Q16539,hsa05132
Q16539,hsa05170
Q16539,hsa05415
Q16539,hsa04926
Q16539,hsa04914
Q16539,hsa05020
Q16539,hsa04218
Q16539,hsa05235
Q16539,hsa04613
Q16539,hsa04658
Q16539,hsa05169
Q16539,hsa04935
Q16539,hsa05014
Q16539,hsa04932
Q16539,hsa04620
Q16539,hsa04917
Q16539,hsa04660
Q16539,hsa05163
Q16539,hsa04114
Q16539,hsa05171
Q16539,hsa04015
Q16539,hsa05142
Q16539,hsa04622
Q16539,hsa04370
Q16539,hsa04657
Q16539,hsa04611
Q16539,hsa04714
Q16539,hsa04728
Q16539,hsa04071
Q16539,hsa05120
Q16539,hsa04723
Q16539,hsa05417
Q16539,hsa04750
Q16539,hsa04550
Q16539,hsa04664
Q16539,hsa04668
Q16539,hsa05130
Q16539,hsa04380
Q16539,hsa05418
Q16539,hsa05022
Q16539,hsa04010
Q16539,hsa05205
Q16539,hsa05152
Q16539,hsa04670
Q16539,hsa04912
Q16539,hsa04068
Q16539,hsa05135
Q16539,hsa05208
Q16539,hsa04261
Q16539,hsa01522
Q16539,hsa04933
Q16539,hsa05140
Q16539,hsa05145
Q16539,hsa04625
Q16539,hsa05133
Q16539,hsa05131
Q16539,hsa05161
Q16539,hsa04722
Q16539,hsa04621
P07333,hsa05202
P07333,hsa05221
P07333,hsa04061
P07333,hsa04015
P07333,hsa04014
P07333,hsa04151
P07333,hsa04380
P07333,hsa04010
P07333,hsa04640
P07333,hsa05200
P07333,hsa04060
P41240,hsa05120
P48729,hsa05022
P48729,hsa04340
P48729,hsa05225
P48729,hsa05165
P48729,hsa05224
P48729,hsa05010
P48729,hsa05226
P48729,hsa04310
Q96NR8,hsa01240
Q96NR8,hsa01100
Q96NR8,hsa00830
P68400,hsa04310
P68400,hsa03008
P68400,hsa04137
P68400,hsa04520
P68400,hsa04064
P68400,hsa05235
P68400,hsa05162
P68400,hsa05022
P68400,hsa05010
P68400,hsa05020
P19784,hsa05020
P19784,hsa04310
P19784,hsa05022
P19784,hsa04520
P19784,hsa05162
P19784,hsa05010
P19784,hsa03008
P19784,hsa05235
P19784,hsa04137
P19784,hsa04064
P25100,hsa04261
P25100,hsa04022
P25100,hsa04270
P25100,hsa04080
P25100,hsa04970
P25100,hsa04020
P13611,hsa04514
P35368,hsa04261
P35368,hsa04020
P35368,hsa04022
P35368,hsa04080
P35368,hsa04270
P35368,hsa04970
P35348,hsa04020
P35348,hsa04080
P35348,hsa04022
P35348,hsa04261
P35348,hsa04152
P35348,hsa04970
P35348,hsa04270
P32929,hsa01100
P32929,hsa00270
P32929,hsa00450
P32929,hsa01230
P32929,hsa00260
O60931,hsa04142
P35222,hsa04390
P35222,hsa05213
P35222,hsa04670
P35222,hsa04310
P35222,hsa04550
P35222,hsa04936
P35222,hsa05167
P35222,hsa05165
P35222,hsa05224
P35222,hsa05216
P35222,hsa05418
P35222,hsa05210
P35222,hsa05412
P35222,hsa04520
P35222,hsa05205
P35222,hsa05226
P35222,hsa05132
P35222,hsa05217
P35222,hsa05160
P35222,hsa05225
P35222,hsa04916
P35222,hsa04919
P35222,hsa05200
P35222,hsa05022
P35222,hsa05010
P35222,hsa04934
P35222,hsa05163
P35222,hsa05100
P35222,hsa04510
P35222,hsa05215
P35222,hsa04015
P08913,hsa04080
P08913,hsa04022
P57059,hsa04922
P17812,hsa01232
P17812,hsa00240
P17812,hsa01240
P17812,hsa01100
P18089,hsa04080
P18089,hsa04022
P07711,hsa04145
P07711,hsa05205
P07711,hsa05323
P07711,hsa05418
P07711,hsa04210
P07711,hsa04140
P07711,hsa04142
P07711,hsa04612
P18825,hsa04022
P18825,hsa04080
P25774,hsa04210
P25774,hsa04612
P25774,hsa04145
P25774,hsa05152
P25774,hsa04142
P08588,hsa05207
P08588,hsa04020
P08588,hsa04923
P08588,hsa04024
P08588,hsa04261
P08588,hsa04540
P08588,hsa04022
P08588,hsa04924
P08588,hsa04970
P08588,hsa04080
P08588,hsa05414
P13498,hsa04670
P13498,hsa05140
P13498,hsa04621
P13498,hsa05415
P13498,hsa04380
P13498,hsa05208
P13498,hsa05020
P13498,hsa05418
P13498,hsa05417
P13498,hsa04145
P13498,hsa04613
P04839,hsa04613
P04839,hsa05022
P04839,hsa05140
P04839,hsa05010
P04839,hsa05415
P04839,hsa04217
P04839,hsa04933
P04839,hsa04145
P04839,hsa05171
P04839,hsa04670
P04839,hsa04066
P04839,hsa05417
P04839,hsa05020
P04839,hsa04621
P04839,hsa04216
P07550,hsa04020
P07550,hsa05207
P07550,hsa04261
P07550,hsa04022
P07550,hsa04024
P07550,hsa04080
P07550,hsa04970
P07550,hsa04924
P07550,hsa04923
P05177,hsa05207
P05177,hsa00980
P05177,hsa00140
P05177,hsa01100
P05177,hsa00232
P05177,hsa05208
P05177,hsa00380
P05177,hsa05204
P05177,hsa00982
P05177,hsa00591
P05177,hsa00830
Q16678,hsa05208
Q16678,hsa00140
Q16678,hsa00380
Q16678,hsa04913
Q16678,hsa05207
Q16678,hsa00980
Q16678,hsa05206
Q16678,hsa05204
P13945,hsa04080
P13945,hsa04923
P13945,hsa04714
P13945,hsa04924
P13945,hsa04970
P13945,hsa04020
P13945,hsa05207
P13945,hsa04022
P24462,hsa05204
P24462,hsa01100
P24462,hsa00830
P24462,hsa00140
P20813,hsa05417
P20813,hsa00590
P20813,hsa01100
P20813,hsa00982
P20813,hsa00830
P20813,hsa00980
P20813,hsa05207
P33261,hsa00591
P33261,hsa00590
P33261,hsa00982
P33261,hsa04726
P33261,hsa05204
P33261,hsa01100
P10632,hsa01100
P10632,hsa00590
P10632,hsa00830
P10632,hsa04726
P10632,hsa00591
