"DrugBank.ID","UniProt.Protein.ID"
"DB00882","Q92731"
"DB04573","Q92731"
"DB02187","Q92731"
"DB13616","P00734"
"DB14726","P00734"
"DB06695","P00734"
"DB00006","P00734"
"DB00001","P00734"
"DB09030","P25116"
"DB16746","P33897"
"DB00035","P00451"
"DB06228","P00742"
"DB09075","P00742"
"DB06605","P00742"
"DB02679","P05091"
"DB00822","P05091"
"DB00822","P30837"
"DB02679","P30837"
"DB00399","P14324"
"DB00282","P14324"
"DB00884","P14324"
"DB00822","P51648"
"DB02679","P51648"
"DB09079","P11362"
"DB08896","P11362"
"DB09078","P11362"
"DB09078","P22607"
"DB09079","P22607"
"DB09078","P21802"
"DB09079","P21802"
"DB09078","P22455"
"DB04552","Q14CN2"
"DB04941","Q14CN2"
"DB02383","P15121"
"DB09078","P17948"
"DB08896","P17948"
"DB06589","P17948"
"DB06626","P17948"
"DB01268","P17948"
"DB09079","P17948"
"DB00398","P36888"
"DB06595","P36888"
"DB12874","P36888"
"DB01268","P36888"
"DB08896","P35916"
"DB00398","P35916"
"DB06589","P35916"
"DB09078","P35916"
"DB09079","P35916"
"DB01268","P35916"
"DB06626","P35916"
"DB05595","P15328"
"DB01144","Q9ULX7"
"DB00869","Q9ULX7"
"DB00311","Q9ULX7"
"DB00703","Q9ULX7"
"DB00819","Q9ULX7"
"DB11776","Q96F46"
"DB09063","Q9UM73"
"DB08865","Q9UM73"
"DB11363","Q9UM73"
"DB00744","P09917"
"DB11466","P09917"
"DB12877","P09917"
"DB04812","P09917"
"DB06287","P42345"
"DB00877","P42345"
"DB01590","P42345"
"DB09105","P05186"
"DB09126","P23945"
"DB04868","P00519"
"DB01254","P00519"
"DB06616","P00519"
"DB08901","P00519"
"DB00619","P00519"
"DB01254","P06241"
"DB01272","P10253"
"DB00284","P10253"
"DB03206","P10253"
"DB00491","P10253"
"DB04878","P10253"
"DB02530","Q9UBS5"
"DB08892","Q9UBS5"
"DB00837","Q9UBS5"
"DB00181","Q9UBS5"
"DB00690","P14867"
"DB01198","P14867"
"DB01567","P14867"
"DB00371","P14867"
"DB00418","P14867"
"DB06554","P14867"
"DB00628","P14867"
"DB01352","P14867"
"DB08811","P14867"
"DB00349","P14867"
"DB00186","P14867"
"DB00292","P14867"
"DB00829","P14867"
"DB01553","P14867"
"DB01559","P14867"
"DB00463","P14867"
"DB02530","P14867"
"DB01437","P14867"
"DB06716","P14867"
"DB00801","P14867"
"DB01588","P14867"
"DB00273","P14867"
"DB00837","P14867"
"DB00312","P14867"
"DB00546","P14867"
"DB00306","P14867"
"DB01355","P14867"
"DB00404","P14867"
"DB00231","P14867"
"DB01068","P14867"
"DB09017","P14867"
"DB01353","P14867"
"DB01589","P14867"
"DB00849","P14867"
