Drug,Protein
DB01205,P47870
DB01595,P47870
DB00475,P47870
DB01174,P47870
DB01198,P47870
DB00349,P47870
DB00418,P47870
DB01544,P47870
DB01437,P28472
DB01558,P28472
DB00842,P28472
DB00849,P28472
DB00306,P28472
DB00418,P28472
DB01154,P28472
DB01544,P28472
DB00231,P28472
DB01559,P28472
DB00829,P28472
DB00475,P28472
DB01198,P28472
DB00273,P28472
DB00371,P28472
DB01595,P28472
DB01215,P28472
DB00237,P28472
DB01068,P28472
DB00683,P28472
DB00349,P28472
DB00186,P28472
DB00312,P28472
DB01351,P28472
DB06716,P28472
DB00801,P28472
DB00628,P28472
DB01353,P28472
DB02530,P28472
DB01174,P28472
DB00897,P28472
DB01588,P28472
DB00404,P28472
DB01589,P28472
DB00690,P28472
DB01205,P28472
DB00818,P28472
DB02530,O14764
DB00349,O14764
DB00829,O14764
DB00371,O14764
DB01351,O14764
DB01595,O14764
DB00237,O14764
DB00801,O14764
DB01559,O14764
DB01174,O14764
DB00683,O14764
DB01558,O14764
DB00628,O14764
DB01437,O14764
DB00418,O14764
DB00818,O14764
DB00312,O14764
DB00306,O14764
DB01353,O14764
DB00897,O14764
DB01068,O14764
DB01544,O14764
DB01205,O14764
DB00231,O14764
DB01589,O14764
DB01198,O14764
DB00273,O14764
DB00842,O14764
DB00186,O14764
DB00404,O14764
DB01154,O14764
DB00475,O14764
DB06716,O14764
DB00690,O14764
DB01588,O14764
DB01215,O14764
DB00849,O14764
DB00371,P78334
DB00306,P78334
DB00231,P78334
DB00842,P78334
DB00418,P78334
DB01558,P78334
DB00628,P78334
DB01068,P78334
DB01353,P78334
DB00404,P78334
DB00683,P78334
DB01559,P78334
DB00897,P78334
DB01174,P78334
DB00690,P78334
DB01215,P78334
DB00349,P78334
DB01437,P78334
DB01588,P78334
DB00801,P78334
DB00829,P78334
DB00273,P78334
DB01351,P78334
DB01198,P78334
DB01595,P78334
DB00237,P78334
DB01544,P78334
DB06716,P78334
DB00312,P78334
DB02530,P78334
DB01205,P78334
DB01154,P78334
DB00818,P78334
DB00186,P78334
DB00849,P78334
DB00475,P78334
DB01589,P78334
DB01559,Q8N1C3
DB00801,Q8N1C3
DB01437,Q8N1C3
DB00306,Q8N1C3
DB00186,Q8N1C3
DB02530,Q8N1C3
DB01558,Q8N1C3
DB01174,Q8N1C3
DB01353,Q8N1C3
DB00349,Q8N1C3
DB01198,Q8N1C3
DB00628,Q8N1C3
DB00273,Q8N1C3
DB01544,Q8N1C3
DB00404,Q8N1C3
DB06716,Q8N1C3
DB00475,Q8N1C3
DB00842,Q8N1C3
DB00231,Q8N1C3
DB00849,Q8N1C3
DB00371,Q8N1C3
DB00683,Q8N1C3
DB00829,Q8N1C3
DB01588,Q8N1C3
DB00418,Q8N1C3
DB00690,Q8N1C3
DB00818,Q8N1C3
DB00897,Q8N1C3
DB01154,Q8N1C3
DB01595,Q8N1C3
DB00312,Q8N1C3
DB01205,Q8N1C3
DB01589,Q8N1C3
DB01351,Q8N1C3
DB00237,Q8N1C3
DB01215,Q8N1C3
DB01068,Q8N1C3
DB00306,P18507
DB00897,P18507
DB02530,P18507
DB01559,P18507
DB00628,P18507
DB01437,P18507
DB01174,P18507
DB06716,P18507
DB00312,P18507
DB00231,P18507
DB00842,P18507
DB01353,P18507
DB00690,P18507
DB01558,P18507
DB01588,P18507
DB01544,P18507
DB00349,P18507
DB00404,P18507
DB00801,P18507
DB00186,P18507
DB00475,P18507
DB01351,P18507
DB00371,P18507
DB01205,P18507
DB00849,P18507
DB00273,P18507
DB01595,P18507
DB00418,P18507
DB01198,P18507
DB01215,P18507
DB00818,P18507
DB01154,P18507
DB01589,P18507
DB00237,P18507
DB00683,P18507
DB01068,P18507
DB00829,P18507
DB00801,Q99928
DB02530,Q99928
DB01353,Q99928
DB00273,Q99928
DB00418,Q99928
DB01205,Q99928
DB01559,Q99928
DB00371,Q99928
DB01198,Q99928
DB00628,Q99928
DB00404,Q99928
DB01351,Q99928
DB00690,Q99928
DB06716,Q99928
DB01437,Q99928
DB00475,Q99928
DB00849,Q99928
DB01588,Q99928
DB00842,Q99928
DB01154,Q99928
DB00237,Q99928
DB01174,Q99928
DB01544,Q99928
DB00349,Q99928
DB00312,Q99928
DB00231,Q99928
DB00683,Q99928
DB00818,Q99928
DB00306,Q99928
DB00829,Q99928
DB01589,Q99928
DB01068,Q99928
DB01558,Q99928
DB00186,Q99928
DB01595,Q99928
DB01215,Q99928
DB00897,Q99928
DB00313,Q99259
DB00313,Q05329
DB00642,P22102
DB01125,P38435
DB08869,Q02643
DB13074,Q92847
DB01113,Q9NP56
DB00824,Q9NP56
DB01223,Q9NP56
DB00277,Q9NP56
DB00651,Q9NP56
DB01303,Q9NP56
DB09265,P43220
DB00284,P04746
DB00014,P30968
DB06788,P30968
DB06699,P30968
DB00050,P30968
DB06825,P30968
DB00007,P30968
DB00363,A5X5Y0
