uniprot,pathway
P01137,R-HSA-5689603
P01137,R-HSA-6785807
P01137,R-HSA-8941855
P01137,R-HSA-8941858
P01137,R-HSA-8951936
P01138,R-HSA-167021
P01138,R-HSA-167044
P01138,R-HSA-167060
P01138,R-HSA-170968
P01138,R-HSA-170984
P01138,R-HSA-177504
P01138,R-HSA-187042
P01138,R-HSA-187706
P01138,R-HSA-193648
P01138,R-HSA-193670
P01138,R-HSA-193681
P01138,R-HSA-198203
P01138,R-HSA-198745
P01138,R-HSA-205017
P01138,R-HSA-205025
P01138,R-HSA-205043
P01138,R-HSA-209543
P01138,R-HSA-209560
P01138,R-HSA-209563
P01189,R-HSA-111885
P01189,R-HSA-193048
P01189,R-HSA-194002
P01189,R-HSA-202040
P01189,R-HSA-209952
P01189,R-HSA-211976
P01189,R-HSA-375276
P01189,R-HSA-418555
P01189,R-HSA-418594
P01189,R-HSA-5579031
P01189,R-HSA-6785807
P01189,R-HSA-9615017
P01303,R-HSA-375276
P01303,R-HSA-418594
P01303,R-HSA-9615017
P01308,R-HSA-210745
