drugbank,disease_mesh
DB00757,MESH:D009325
DB00757,MESH:D020250
DB06791,MESH:D000172
DB06791,MESH:D009389
DB06791,MESH:D008114
DB06791,MESH:D008103
DB01153,MESH:D009181
DB01208,MESH:D017714
DB01208,MESH:D014552
DB01208,MESH:D011472
DB01208,MESH:D011018
DB00549,MESH:D020244
DB00549,MESH:D006976
DB00549,MESH:D008881
DB00549,MESH:D012220
DB00549,MESH:D019954
DB00549,MESH:D009298
DB00549,MESH:D001249
DB00549,MESH:D008173
DB00549,MESH:D029424
DB00549,MESH:D007249
DB00549,MESH:D003550
DB00549,MESH:D065631
DB00549,MESH:D001982
DB00549,MESH:D015427
DB00549,MESH:D004487
DB00549,MESH:D012852
DB00549,MESH:D011654
DB00549,MESH:D003233
DB00549,MESH:D004802
DB00549,MESH:D004715
DB00549,MESH:D002181
DB00549,MESH:D014581
DB00549,MESH:D010146
DB00549,MESH:D055963
DB00549,MESH:D003876
DB00549,MESH:D003665
DB00549,MESH:D001250
DB00549,MESH:D003371
DB00869,MESH:D009798
DB00869,MESH:D005901
DB00869,MESH:D005902
DB00429,MESH:D006470
DB00429,MESH:D003556
DB00429,MESH:D006417
DB00050,MESH:D009101
DB00744,MESH:D012852
DB00744,MESH:D009298
DB00744,MESH:D010146
DB00744,MESH:D015427
DB00744,MESH:D020244
DB00744,MESH:D015464
DB00744,MESH:D019446
DB00744,MESH:D005596
