uniprot,uniprot2
Q15428,Q9Y3B4
Q15459,Q9Y3B4
Q8N8D1,Q9Y3B4
Q9NW64,Q9Y3B4
Q9UMS4,Q9Y3B4
P62318,Q9Y3B4
Q7L592,O75251
P31930,O75251
O95168,O75251
P17568,O75251
O95931,Q9BSM1
P63208,Q9BSM1
P11912,Q99704
P41240,Q99704
O43639,Q99704
P21583,Q99704
Q08426,P28330
P04004,P24593
P05121,P24593
P51787,O60928
P00740,P38435
P15289,Q9Y3R4
P06280,Q9Y3R4
Q07021,P61604
O95433,P61604
Q9ULW2,Q9Y6F9
Q9UBT3,Q9Y6F9
P56703,Q9Y6F9
Q9UBV4,Q9Y6F9
Q8N474,Q9Y6F9
Q13445,Q01638
Q9UNN8,P04070
P10720,P04070
P38435,P04070
P05546,P04070
P05121,P04070
O75832,P11926
P25788,P11926
P25787,P11926
Q9UL46,P11926
Q16401,P11926
P25789,P11926
P48556,P11926
P43686,P11926
P51665,P11926
P28482,Q9H8Y8
P22087,Q03701
P21583,Q13416
Q9Y5N6,Q13416
P33992,Q13416
Q99741,Q13416
P46527,Q13416
P56282,Q13416
O75496,Q13416
P62714,P63098
O75807,P63098
P18206,P08567
Q9UNN8,P24158
P29992,Q969F8
O00459,Q969F8
O60359,O60391
Q969R8,P15313
Q8WTW4,P15313
Q9Y5K8,P15313
P43246,P52701
P07992,P52701
P35244,P52701
P40692,P52701
Q99798,P06733
Q16822,P06733
P60174,P06733
P04406,P06733
P09972,P06733
P49590,P49591
P13569,A8K7I4
P24385,Q9BQA1
Q15459,Q9BQA1
P62318,Q9BQA1
Q9NRG0,Q9UI95
P35244,Q9UI95
P56282,Q9UI95
P29992,P41220
Q9BQG2,Q9BXI3
P43490,Q9BXI3
P11172,Q9BXI3
P02452,Q32P28
Q13477,P14151
Q14242,P14151
P01730,P14151
O15155,O75379
O95249,O75379
P61266,O75379
Q16623,O75379
O15498,O75379
O14653,O75379
O95721,O75379
Q9BRR8,O95926
O60306,O95926
Q9BQ65,O95926
P62318,O95926
Q9NW64,O95926
Q14331,O95926
Q9UMS4,O95926
P28799,P07339
P04233,P07339
Q15853,P07339
Q8WXD2,P02647
O60907,P02647
P18428,P02647
Q08426,P02647
