drugbank,disease_mesh
DB00556,MESH:D000707
DB01320,MESH:D006212
DB01320,MESH:D010689
DB01320,MESH:D013262
DB01320,MESH:D054537
DB01320,MESH:D064420
DB01320,MESH:D010292
DB01320,MESH:D007022
DB01320,MESH:D011537
DB01320,MESH:D054138
DB01084,MESH:D002819
DB09242,MESH:D014987
DB09242,MESH:D009325
DB09242,MESH:D001919
DB09242,MESH:D007022
DB00902,MESH:D008064
DB00902,MESH:D016464
DB00294,MESH:D008599
DB00294,MESH:D015430
DB00294,MESH:D003866
DB00294,MESH:D000152
DB00294,MESH:D012851
DB00294,MESH:D006261
DB00294,MESH:D010146
DB00294,MESH:D000568
DB00294,MESH:D019964
DB00294,MESH:D001941
DB00294,MESH:D004244
DB01249,MESH:D001145
DB01249,MESH:D004417
DB01249,MESH:D006968
DB01249,MESH:D007674
DB01249,MESH:D014581
DB01249,MESH:D009325
DB01249,MESH:D000787
DB01249,MESH:D006331
DB01249,MESH:D051437
DB01249,MESH:D058186
DB01249,MESH:D012640
DB01249,MESH:D010146
DB00542,MESH:D006505
DB00542,MESH:D007410
DB00542,MESH:D013262
DB00542,MESH:D058186
DB00542,MESH:D012206
DB00542,MESH:D003371
DB00542,MESH:D000799
DB00268,MESH:D014256
DB00268,MESH:D005221
DB00268,MESH:D020922
DB00268,MESH:D001416
DB00268,MESH:D007319
DB00268,MESH:D007174
DB00268,MESH:D004409
DB00268,MESH:D001068
DB00268,MESH:D010146
DB00268,MESH:D013651
DB00268,MESH:D009325
DB00268,MESH:D011605
DB00268,MESH:D020018
DB00268,MESH:D006970
DB00268,MESH:D018771
DB00268,MESH:D004244
DB00268,MESH:D006212
DB09059,MESH:D007022
DB13228,MESH:D006261
DB05271,MESH:D006948
DB00346,MESH:D007024
DB00346,MESH:D007022
DB00346,MESH:D009325
DB00346,MESH:D001145
DB00346,MESH:D019694
DB00346,MESH:D011317
DB00346,MESH:D056486
DB00346,MESH:D004244
DB00346,MESH:D008133
DB00346,MESH:D015746
DB01135,MESH:D009468
DB09495,MESH:D017454
DB01149,MESH:D016464
DB01149,MESH:D014786
DB01149,MESH:D009336
DB01149,MESH:D009127
DB01149,MESH:D009220
DB01149,MESH:D012893
DB01149,MESH:D007565
DB01149,MESH:D012206
DB01149,MESH:D008064
DB01149,MESH:D003128
DB01149,MESH:D009207
DB01149,MESH:D008133
DB01149,MESH:D051437
DB01149,MESH:D017093
DB01149,MESH:D006261
DB01149,MESH:D006505
DB01149,MESH:D066126
DB01149,MESH:D001714
DB01149,MESH:D001919
DB01149,MESH:D020230
DB01149,MESH:D056486
DB01149,MESH:D006501
DB01149,MESH:D017114
DB01149,MESH:D016171
DB01149,MESH:D012735
DB01149,MESH:D006331
DB01149,MESH:D003221
DB01149,MESH:D008107
DB01150,MESH:D006323
DB01150,MESH:D009205
DB01150,MESH:D013575
DB01150,MESH:D012640
DB01150,MESH:D004342
DB01150,MESH:D014839
DB01150,MESH:D056486
DB01150,MESH:D013262
DB00519,MESH:D014717
DB00519,MESH:D057049
DB00519,MESH:D006261
DB00519,MESH:D013262
