uniprot,disease_mesh
P14210,MESH:D008113
P14210,MESH:D008106
P14210,MESH:D014950
P14210,MESH:D010195
P14210,MESH:D002294
P14210,MESH:D008103
P14210,MESH:D009202
P14210,MESH:D003929
P14210,MESH:D014652
P14210,MESH:D017114
Q02297,MESH:D006333
Q02297,MESH:D066126
Q16665,MESH:D048629
Q16665,MESH:D054990
Q16665,MESH:D006973
Q16665,MESH:D011833
P09601,MESH:D006973
P09601,MESH:D008107
P09601,MESH:D013927
P09601,MESH:D015427
P09601,MESH:D007511
P09601,MESH:D057772
P09601,MESH:D058186
P09601,MESH:D006946
P09601,MESH:D018589
P09601,MESH:D007333
P09601,MESH:D008113
P09601,MESH:D006965
P09601,MESH:D003925
P09601,MESH:D008106
P09601,MESH:D005355
P09601,MESH:D006505
P09601,MESH:D006332
P09601,MESH:D003921
P09601,MESH:D003924
P09601,MESH:D010182
P09601,MESH:D003092
P09601,MESH:D007676
P09601,MESH:D056486
P09601,MESH:D009361
P09601,MESH:D008325
P30519,MESH:D002543
P15428,MESH:D013964
P15428,MESH:D018276
P02790,MESH:D003161
P35367,MESH:D005119
P35367,MESH:D013684
Q00613,MESH:C531617
P0DMV8,MESH:D018882
P0DMV8,MESH:D010300
P0DMV8,MESH:D001943
P11142,MESH:D015427
P04792,MESH:D015427
P04792,MESH:D006333
P10809,MESH:D009202
P61604,MESH:D009202
P08908,MESH:D012640
P08908,MESH:D010146
P08908,MESH:D013274
P08908,MESH:D001049
P28222,MESH:D019969
P28222,MESH:D019970
P28335,MESH:D006948
Q13639,MESH:D001281
Q13639,MESH:D020521
P10997,MESH:D013276
P05362,MESH:D003930
P41134,MESH:D009362
Q02363,MESH:D008106
P35475,MESH:D008059
P01562,MESH:D015179
P01562,MESH:D014625
P01562,MESH:D006528
P01562,MESH:D003969
P01562,MESH:D045169
P01562,MESH:D008106
P01562,MESH:D006509
P01562,MESH:D000230
P01562,MESH:D015459
P01562,MESH:D008545
P01562,MESH:D010190
P01562,MESH:D008103
P01562,MESH:D008113
P01563,MESH:D002294
P01563,MESH:D010190
P01563,MESH:D011087
P01563,MESH:D002295
P01563,MESH:D018323
P01563,MESH:D015430
P01563,MESH:D006509
P01563,MESH:D013375
P01563,MESH:D011625
P01563,MESH:D008224
P01563,MESH:D019694
P01563,MESH:D018177
P01563,MESH:D005909
P01563,MESH:D009101
P01563,MESH:D002292
P01563,MESH:D014766
P01563,MESH:D015464
