drugbank,uniprot
DB00659,Q13224
DB00659,Q14957
DB00659,O15399
DB00659,Q8TCU5
DB00659,O60391
DB00661,Q13936
DB00661,Q00975
DB00661,O00555
DB00661,Q14654
DB00661,O43497
DB00661,O95180
DB00661,Q12809
DB00674,P36544
DB00675,Q12809
DB00679,Q12809
DB00680,Q14524
DB00683,P14867
DB00683,P47869
DB00683,P34903
DB00683,P48169
DB00683,P31644
DB00683,Q16445
DB00683,P18505
DB00683,P47870
DB00683,P28472
DB00683,O14764
DB00683,P78334
DB00683,Q8N1C3
DB00683,P18507
DB00683,Q99928
DB00683,Q9UN88
DB00690,P14867
DB00690,P47869
DB00690,P34903
DB00690,P48169
DB00690,P31644
DB00690,Q16445
DB00690,P18505
DB00690,P47870
DB00690,P28472
DB00690,O14764
DB00690,P78334
DB00690,Q8N1C3
DB00690,P18507
DB00690,Q99928
DB00690,Q9UN88
DB00715,P46098
DB00715,O95264
DB00715,Q8WXA8
DB00715,Q70Z44
DB00715,A5X5Y0
DB00721,Q9Y5Y9
DB00721,Q8TCU5
DB00721,P46098
DB00721,Q15822
DB00721,Q12791
DB00721,Q16558
DB00721,Q9NPA1
DB00721,Q86W47
DB00721,O15554
DB00721,Q92952
DB00721,Q9H2S1
DB00721,Q9UGI6
DB00726,P46098
DB00728,Q15822
DB00728,P46098
DB00732,Q15822
DB00740,Q14524
DB00747,P43681
DB00747,P17787
DB00750,Q14524
DB00753,P14867
DB00753,P23415
DB00753,P42261
DB00753,Q09470
DB00753,P47869
DB00753,P34903
DB00753,P48169
DB00753,P31644
DB00753,Q16445
DB00753,P18505
DB00753,P47870
DB00753,P28472
DB00753,O14764
DB00753,P78334
DB00753,Q8N1C3
DB00753,P18507
DB00753,Q99928
DB00753,Q9UN88
DB00753,P43681
DB00753,P17787
DB00754,Q14524
DB00757,P46098
DB00774,Q12791
DB00776,P35498
DB00776,Q9Y5Y9
DB00776,Q9UI33
DB00776,Q99250
DB00776,Q9NY46
DB00776,P35499
DB00776,Q14524
DB00776,Q01118
DB00776,Q9UQD0
DB00776,Q15858
DB00776,Q07699
DB00776,O60939
DB00776,Q9NY72
DB00776,Q8IWT1
DB00783,P43681
DB00794,P14867
DB00794,P47869
DB00794,P34903
DB00794,P48169
DB00794,P31644
DB00794,Q16445
DB00794,P43681
DB00794,P36544
DB00794,P42262
DB00794,Q13002
DB00794,P18505
DB00794,P47870
DB00794,P28472
DB00794,O14764
DB00794,P78334
DB00794,Q8N1C3
DB00794,P18507
DB00794,Q99928
DB00794,Q9UN88
DB00801,P14867
DB00801,P47869
DB00801,P34903
DB00801,P48169
DB00801,P31644
DB00801,Q16445
DB00801,P18505
DB00801,P47870
DB00801,P28472
DB00801,O14764
DB00801,P78334
DB00801,Q8N1C3
DB00801,P18507
DB00801,Q99928
DB00801,Q9UN88
DB00807,Q9Y5Y9
DB00818,P47870
DB00818,P28472
DB00818,P35499
DB00818,Q99250
DB00818,P14867
DB00818,P47869
DB00818,P34903
DB00818,P48169
DB00818,P31644
DB00818,Q16445
DB00818,P18505
DB00818,O14764
DB00818,P78334
DB00818,Q8N1C3
DB00818,P18507
DB00818,Q99928
DB00818,Q9UN88
DB00825,Q7Z2W7
DB00825,O75762
DB00825,Q8NET8
DB00825,Q13936
DB00825,Q01668
DB00825,O60840
DB00825,Q13698
DB00825,Q02641
DB00825,Q08289
DB00825,P54284
DB00825,O00305
DB00825,O00555
DB00829,P14867
DB00829,P47869
DB00829,P34903
DB00829,P48169
DB00829,P31644
DB00829,Q16445
DB00829,P18505
DB00829,P47870
DB00829,P28472
DB00829,O14764
DB00829,P78334
DB00829,Q8N1C3
DB00829,P18507
DB00829,Q99928
DB00829,Q9UN88
DB00836,O00555
DB00839,Q14654
DB00842,P14867
DB00842,P47869
DB00842,P34903
DB00842,P48169
DB00842,P31644
DB00842,Q16445
DB00842,P18505
DB00842,P47870
DB00842,P28472
DB00842,O14764
DB00842,P78334
DB00842,Q8N1C3
DB00842,P18507
DB00842,Q99928
DB00842,Q9UN88
DB00843,Q05586
DB00843,Q12879
DB00843,Q13224
DB00843,Q14957
DB00843,O15399
DB00843,Q8TCU5
DB00843,O60391
DB00845,P22001
DB00848,P32297
DB00849,P14867
DB00849,P47869
DB00849,P34903
DB00849,P48169
DB00849,P31644
DB00849,Q16445
DB00849,P43681
DB00849,P36544
DB00849,P42262
DB00849,Q13002
DB00868,Q14524
DB00874,Q05586
DB00874,Q12879
DB00874,Q13224
DB00874,Q14957
DB00874,O15399
DB00874,Q8TCU5
DB00874,O60391
DB00889,P46098
DB00892,Q9Y5Y9
DB00897,P14867
DB00897,P47869
DB00897,P34903
DB00897,P48169
DB00897,P31644
DB00897,Q16445
DB00897,P18505
DB00897,P47870
DB00897,P28472
DB00897,O14764
DB00897,P78334
DB00897,Q8N1C3
DB00897,P18507
DB00897,Q99928
DB00897,Q9UN88
DB00898,P14867
DB00898,Q8TCU5
