uniprot,pathway_id,database
P07101,hsa05031,kegg
Q13936,hsa05031,kegg
Q01668,hsa05031,kegg
P0DP23,hsa05031,kegg
Q9UQM7,hsa05031,kegg
Q13554,hsa05031,kegg
Q13557,hsa05031,kegg
Q13555,hsa05031,kegg
Q96RR4,hsa04152,kegg
P13569,hsa04152,kegg
P50416,hsa04152,kegg
P16220,hsa04152,kegg
P35348,hsa04152,kegg
P13639,hsa04152,kegg
P31749,hsa04152,kegg
P49327,hsa04152,kegg
P42345,hsa04152,kegg
Q13085,hsa04152,kegg
P04035,hsa04152,kegg
O00763,hsa04152,kegg
P08069,hsa04152,kegg
P01308,hsa04152,kegg
P06213,hsa04152,kegg
Q9UGJ0,hsa04152,kegg
O15530,hsa04152,kegg
P42336,hsa04152,kegg
P42338,hsa04152,kegg
O00329,hsa04152,kegg
P27986,hsa04152,kegg
O00459,hsa04152,kegg
Q9UGI9,hsa04152,kegg
P37231,hsa04152,kegg
P67775,hsa04152,kegg
P62714,hsa04152,kegg
Q13131,hsa04152,kegg
P54646,hsa04152,kegg
Q9Y478,hsa04152,kegg
O43741,hsa04152,kegg
P54619,hsa04152,kegg
P24385,hsa04152,kegg
P36956,hsa04152,kegg
O75385,hsa04152,kegg
Q92569,hsa04152,kegg
Q9UBN7,hsa05014,kegg
Q99720,hsa05014,kegg
Q13509,hsa05014,kegg
P68371,hsa05014,kegg
Q86Y39,hsa05014,kegg
P13073,hsa05014,kegg
P10606,hsa05014,kegg
Q02221,hsa05014,kegg
P14854,hsa05014,kegg
P09669,hsa05014,kegg
P24310,hsa05014,kegg
P24311,hsa05014,kegg
P15954,hsa05014,kegg
P10176,hsa05014,kegg
Q16539,hsa05014,kegg
P07437,hsa05014,kegg
Q15303,hsa05014,kegg
O75460,hsa05014,kegg
P18850,hsa05014,kegg
P42345,hsa05014,kegg
P07203,hsa05014,kegg
P22352,hsa05014,kegg
O75715,hsa05014,kegg
Q96SL4,hsa05014,kegg
P42261,hsa05014,kegg
P42262,hsa05014,kegg
Q05586,hsa05014,kegg
Q12879,hsa05014,kegg
Q13224,hsa05014,kegg
Q14957,hsa05014,kegg
O15399,hsa05014,kegg
Q9UHD2,hsa05014,kegg
P22626,hsa05014,kegg
P11021,hsa05014,kegg
Q14573,hsa05014,kegg
O75251,hsa05014,kegg
P00846,hsa05014,kegg
P00395,hsa05014,kegg
P00403,hsa05014,kegg
P00414,hsa05014,kegg
P03886,hsa05014,kegg
P03891,hsa05014,kegg
P03897,hsa05014,kegg
P03905,hsa05014,kegg
P03901,hsa05014,kegg
P03915,hsa05014,kegg
P03923,hsa05014,kegg
P18848,hsa05014,kegg
O15239,hsa05014,kegg
O43678,hsa05014,kegg
O95167,hsa05014,kegg
O00483,hsa05014,kegg
Q16718,hsa05014,kegg
P56556,hsa05014,kegg
O95182,hsa05014,kegg
P51970,hsa05014,kegg
Q16795,hsa05014,kegg
O95299,hsa05014,kegg
O14561,hsa05014,kegg
O75438,hsa05014,kegg
O95178,hsa05014,kegg
O43676,hsa05014,kegg
O95168,hsa05014,kegg
O43674,hsa05014,kegg
O95139,hsa05014,kegg
P17568,hsa05014,kegg
O95169,hsa05014,kegg
Q9Y6M9,hsa05014,kegg
O96000,hsa05014,kegg
O43677,hsa05014,kegg
O95298,hsa05014,kegg
P28331,hsa05014,kegg
O75306,hsa05014,kegg
O75489,hsa05014,kegg
P49821,hsa05014,kegg
O43181,hsa05014,kegg
O43920,hsa05014,kegg
O75380,hsa05014,kegg
O00217,hsa05014,kegg
P19404,hsa05014,kegg
P56181,hsa05014,kegg
P29475,hsa05014,kegg
P35228,hsa05014,kegg
Q8TED1,hsa05014,kegg
Q9P0J0,hsa05014,kegg
P30049,hsa05014,kegg
P99999,hsa05014,kegg
Q96LZ3,hsa05014,kegg
Q9UI09,hsa05014,kegg
Q15759,hsa05014,kegg
O15264,hsa05014,kegg
P46734,hsa05014,kegg
P52564,hsa05014,kegg
P20618,hsa05014,kegg
P49721,hsa05014,kegg
P28074,hsa05014,kegg
P63000,hsa05014,kegg
P10415,hsa05014,kegg
Q07817,hsa05014,kegg
P53778,hsa05014,kegg
P31040,hsa05014,kegg
O14521,hsa05014,kegg
P43004,hsa05014,kegg
P00441,hsa05014,kegg
P63261,hsa05014,kegg
P01375,hsa05014,kegg
P04637,hsa05014,kegg
P68366,hsa05014,kegg
P21796,hsa05014,kegg
Q71U36,hsa05014,kegg
Q9H4B7,hsa05014,kegg
P29466,hsa05014,kegg
P42574,hsa05014,kegg
O75385,hsa05014,kegg
P55211,hsa05014,kegg
P04040,hsa05014,kegg
Q14457,hsa05014,kegg
P20674,hsa05014,kegg
Q8IYT8,hsa05014,kegg
O14618,hsa05014,kegg
O15440,hsa01523,kegg
O15111,hsa01523,kegg
Q92887,hsa01523,kegg
P00374,hsa01523,kegg
P15328,hsa01523,kegg
P14207,hsa01523,kegg
Q05932,hsa01523,kegg
P22102,hsa01523,kegg
O14920,hsa01523,kegg
P01584,hsa01523,kegg
P05231,hsa01523,kegg
P33527,hsa01523,kegg
P42898,hsa01523,kegg
P31939,hsa01523,kegg
P19838,hsa01523,kegg
Q04206,hsa01523,kegg
P34896,hsa01523,kegg
P34897,hsa01523,kegg
P01375,hsa01523,kegg
P04818,hsa01523,kegg
Q9UNQ0,hsa01523,kegg
P16220,hsa04612,kegg
P07711,hsa04612,kegg
P25774,hsa04612,kegg
P30101,hsa04612,kegg
P01889,hsa04612,kegg
P11021,hsa04612,kegg
P11142,hsa04612,kegg
P07900,hsa04612,kegg
P01579,hsa04612,kegg
P61769,hsa04612,kegg
Q06323,hsa04612,kegg
P01375,hsa04612,kegg
P27797,hsa04612,kegg
P27824,hsa04612,kegg
Q9UQL6,hsa04371,kegg
Q08828,hsa04371,kegg
Q08462,hsa04371,kegg
O95622,hsa04371,kegg
P30556,hsa04371,kegg
P31749,hsa04371,kegg
P42345,hsa04371,kegg
Q14643,hsa04371,kegg
Q14571,hsa04371,kegg
Q14573,hsa04371,kegg
Q15746,hsa04371,kegg
P29475,hsa04371,kegg
P35228,hsa04371,kegg
P29474,hsa04371,kegg
P05121,hsa04371,kegg
Q13370,hsa04371,kegg
Q9UGJ0,hsa04371,kegg
P48736,hsa04371,kegg
P00750,hsa04371,kegg
Q9UGI9,hsa04371,kegg
P59768,hsa04371,kegg
Q13131,hsa04371,kegg
P54646,hsa04371,kegg
Q9Y478,hsa04371,kegg
O43741,hsa04371,kegg
P17612,hsa04371,kegg
P22694,hsa04371,kegg
P54619,hsa04371,kegg
Q02156,hsa04371,kegg
P28482,hsa04371,kegg
P27361,hsa04371,kegg
Q02750,hsa04371,kegg
P36507,hsa04371,kegg
P04049,hsa04371,kegg
P24385,hsa04371,kegg
P21817,hsa04371,kegg
Q92736,hsa04371,kegg
P32418,hsa04371,kegg
P19634,hsa04371,kegg
P36897,hsa04371,kegg
P0DP23,hsa04371,kegg
Q9H1R3,hsa04371,kegg
Q14457,hsa04371,kegg
Q32MK0,hsa04371,kegg
P56524,hsa04371,kegg
Q9UGN5,hsa04210,kegg
Q9Y6F1,hsa04210,kegg
O15111,hsa04210,kegg
P09874,hsa04210,kegg
P07711,hsa04210,kegg
P25774,hsa04210,kegg
P31749,hsa04210,kegg
O75460,hsa04210,kegg
P01100,hsa04210,kegg
O15392,hsa04210,kegg
O14920,hsa04210,kegg
